sampleID	station_num_BODC	lat	lon	aluminum_total.particulate_nmol.kg	cobalt_dissolved_pmol.kg	dissolved.inorganic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	iron_total.particulate_nmol.kg	lead_total.dissolvable_pmol.kg	lead_total.particulate_pmol.kg	nitrite_dissolved_umol.kg	nitrite.nitrate_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0447	761122	-34.62898	17.06995	NA	41.473171	2039.699951	NA	NA	NA	NA	0.009756	0.604878	241.2683	0.17561	6.1	35.486	2.8	17.951	5.297561
S0448	761122	-34.62898	17.06995	NA	40.019512	2041.5	NA	NA	NA	NA	0.078049	0.604878	241.6585	0.185366	21.3	35.486	2.712195	17.915	8.302439
S0449	761122	-34.62898	17.06995	NA	38.17561	NA	NA	NA	NA	NA	0.078049	0.692683	241.7561	0.195122	31.4	35.478001	2.526829	17.715	3.756098
S0450	761122	-34.62898	17.06995	NA	NA	2044.5	NA	NA	NA	NA	0.117073	1.004878	238.439	0.253659	41.1	35.474998	2.780488	17.576	NA
S0451	761122	-34.62898	17.06995	NA	48.829269	2043	NA	NA	NA	NA	0.107317	1.034146	238.9268	0.243902	51.8	35.476002	3.014634	17.537	1.443902
S0452	761122	-34.62898	17.06995	NA	NA	NA	NA	NA	NA	NA	0.126829	2.546341	232.1951	0.341463	61.3	35.439999	4.029268	17.025	NA
S0453	761128	-35.36689	14.90645	NA	NA	NA	NA	NA	NA	NA	0.165854	0.926829	237.9512	0.165854	6.4	35.581001	2.653658	17.944	NA
S0454	761128	-35.36689	14.90645	NA	19.736586	2044.400024	NA	NA	NA	NA	0.17561	0.985366	237.8537	0.185366	21.5	35.580002	2.634146	17.941	NA
S0455	761128	-35.36689	14.90645	NA	31.200001	2056.699951	NA	NA	NA	NA	0.185366	1.073171	237.2683	0.185366	51.5	35.581001	2.692683	17.945	2.956098
S0456	761128	-35.36689	14.90645	NA	30.282927	2053.899902	NA	NA	NA	NA	0.282927	1.668293	233.4634	0.234146	61.9	35.574001	2.97561	17.842	0.380488
S0457	761128	-35.36689	14.90645	NA	26.663416	NA	NA	NA	NA	NA	0.341463	2.009756	230.9268	0.253659	82.1	35.571999	3.112195	17.818	0.263415
S0458	761128	-35.36689	14.90645	NA	NA	NA	NA	NA	NA	NA	0.35122	2.439024	227.4146	0.273171	102.7	35.567001	3.278049	17.785	NA
S0459	761140	-36.4495	13.21958	NA	17.668293	2085.300049	NA	NA	NA	NA	0.146341	3.902439	258.2439	0.44878	10.1	35.076	2.312195	13.001	0.22439
S0460	761140	-36.4495	13.21958	NA	NA	2083.199951	0.06	NA	20.5	NA	0.146341	3.980488	258.7317	0.458537	21.3	35.075001	2.429268	13	NA
S0461	761140	-36.4495	13.21958	NA	17.463415	2087	0.05	NA	25.219999	NA	0.136585	4.292683	261.4634	0.478049	50.6	34.995998	2.341463	12.624	0.136585
S0462	761140	-36.4495	13.21958	NA	NA	2091.899902	NA	NA	NA	NA	0.136585	4.478049	261.8537	0.487805	60.3	34.965	2.321951	12.478	NA
S0463	761140	-36.4495	13.21958	NA	NA	2095.300049	NA	NA	NA	NA	0.136585	7.551219	249.4634	0.663415	82.1	34.922001	3.053658	12.05	NA
S0464	761140	-36.4495	13.21958	NA	34.078049	2093.199951	0.09	NA	22.42	NA	0.22439	7.834146	260.6829	0.692683	101.8	34.728001	2.673171	11.085	0.204878
S0465	761148	-38.42539	10.08884	NA	NA	2082.600098	NA	NA	NA	NA	0.126829	5.2	266.04880000000003	0.517073	6.5	34.838001	1.707317	11.779	NA
S0466	761148	-38.42539	10.08884	NA	17.668293	2081.899902	NA	NA	NA	NA	0.126829	5.180488	266.04880000000003	0.526829	21.6	34.839001	1.707317	11.782	0.126829
S0467	761148	-38.42539	10.08884	NA	NA	NA	NA	NA	NA	NA	0.126829	5.278049	263.9024	0.526829	42.5	34.841999	1.736585	11.781	NA
S0468	761148	-38.42539	10.08884	NA	15.687805000000001	2082	NA	NA	NA	NA	0.126829	5.326829	263.7073	0.526829	52.5	34.841999	1.746341	11.779	0.17561
S0469	761148	-38.42539	10.08884	NA	NA	NA	NA	NA	NA	NA	0.126829	5.307317	264	0.536585	62.5	34.841	1.726829	11.779	NA
S0470	761148	-38.42539	10.08884	NA	20.643904	2086.399902	NA	NA	NA	NA	0.146341	5.521951	261.7561	0.546341	102.7	34.84	1.765854	11.753	0.126829
S0471	761154	-40.06269	5.52721	NA	NA	2086.399902	NA	NA	NA	NA	0.136585	4.692683	265.2683	0.556098	6.3	34.806	1.443902	11.948	NA
S0472	761154	-40.06269	5.52721	0.614634	24.578537	2085.800049	NA	0.614634	NA	0.897561	0.136585	4.702439	265.3658	0.565854	21.8	34.806999	1.414634	11.947	1.317073
S0473	761154	-40.06269	5.52721	2.429268	5.121951	NA	NA	0.390244	NA	0.682927	0.156098	4.829268	263.3171	0.57561	51.6	34.799	1.443902	11.702	0.253659
S0474	761154	-40.06269	5.52721	7.180488	9.892683	NA	NA	0.390244	NA	0.839024	0.156098	4.848781	262.9268	0.585366	66.8	34.799	1.434146	11.695	0.341463
S0475	761154	-40.06269	5.52721	NA	NA	NA	NA	NA	NA	NA	0.156098	4.878049	262.439	0.585366	82	34.799	1.453658	11.695	NA
S0476	761154	-40.06269	5.52721	0.926829	4.536585	2082.899902	NA	0.390244	NA	0.790244	0.156098	4.878049	262.3415	0.585366	102.7	34.799	1.443902	11.699	0.068293
S0477	761162	-40.01935	0.88755	NA	NA	NA	0.1	NA	NA	NA	0.165854	7.395122	276.0976	0.731707	6	34.540001	1.804878	10.728	NA
S0478	761162	-40.01935	0.88755	NA	0.985366	2085.399902	0.04	NA	19.950001	NA	0.165854	7.37561	239.2195	0.760976	21.6	34.536999	1.795122	10.671	1.170732
S0479	761162	-40.01935	0.88755	NA	1.629268	NA	0.04	NA	26.540001	NA	0.17561	7.531707	276	0.721951	51.3	34.540001	1.746341	10.483	0.263415
S0480	761162	-40.01935	0.88755	NA	NA	2091.899902	NA	NA	NA	NA	0.185366	7.609756	274.2439	0.760976	61.9	34.543999	1.765854	10.346	NA
S0481	761162	-40.01935	0.88755	NA	NA	2097.399902	NA	NA	NA	NA	0.195122	7.882927	270.1463	0.8	76.8	34.549	1.77561	10.186	NA
S0482	761162	-40.01935	0.88755	NA	4.956098	2095	0.05	NA	25.48	NA	0.214634	8.4	271.2195	0.829268	102.7	34.522999	1.902439	10.023	0.263415
S0483	761176	-34.89531	16.07692	NA	NA	2049.899902	NA	NA	NA	NA	0.087805	0.946341	236	0.195122	6	35.554001	2.926829	18.187	NA
S0484	761176	-34.89531	16.07692	2.390244	1.239024	2049	NA	0.868293	NA	1.42439	0.087805	0.936585	236.2927	0.204878	21.4	35.554001	2.917073	18.057	0.917073
S0485	761176	-34.89531	16.07692	NA	NA	NA	NA	NA	NA	NA	0.087805	0.965854	236.3902	0.204878	41.6	35.553001	2.917073	18.042	NA
S0486	761176	-34.89531	16.07692	NA	NA	NA	NA	NA	NA	NA	0.107317	1.141463	234.2439	0.22439	61.4	35.549999	2.936585	18.005	NA
S0487	761176	-34.89531	16.07692	NA	22.985367	NA	NA	NA	NA	NA	0.107317	1.170732	233.6585	0.22439	72.1	35.549	2.956098	17.992	0.253659
S0488	761176	-34.89531	16.07692	0.887805	21.746342	2056.600098	NA	0.312195	NA	0.682927	0.107317	1.219512	232.8781	0.234146	101.9	35.549	2.995122	17.978	0.156098
S0489	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.087805	1.756098	240.0976	0.282927	6.3	35.505001	2.926829	16.49	NA
S0490	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.087805	1.765854	240	0.292683	21.3	35.504002	2.936585	16.481	NA
S0491	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.087805	1.756098	239.5122	0.302439	41	35.473999	2.809756	16.275	NA
S0492	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.04878	0.819512	251.1219	0.321951	62	35.299	1.326829	14.73	NA
S0493	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.136585	1.443902	247.8049	0.35122	81.5	35.34	1.717073	14.562	NA
S0494	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.214634	1.960976	246.8293	0.390244	101.7	35.264999	1.746341	14.204	NA
S0495	761192	-39.25553	7.72506	NA	NA	2079.199951	0.07	NA	NA	NA	0.097561	2.136585	253.7561	0.360976	6.1	35.175999	1.541463	13.833	NA
S0496	761192	-39.25553	7.72506	NA	1.668293	2078.100098	0.06	NA	NA	NA	0.107317	2.146342	253.2683	0.360976	21.6	35.173	1.531707	13.678	NA
S0497	761192	-39.25553	7.72506	NA	7.746342	2079.800049	0.05	NA	NA	NA	0.117073	2.273171	253.2683	0.370732	51.6	35.167999	1.541463	13.578	NA
S0498	761192	-39.25553	7.72506	NA	3.521951	NA	NA	NA	NA	NA	0.117073	2.321951	252.3902	0.380488	71.9	35.167	1.551219	13.565	NA
S0499	761192	-39.25553	7.72506	NA	NA	NA	NA	NA	NA	NA	0.126829	2.341463	252	0.390244	92.2	35.166	1.551219	13.558	NA
S0500	761192	-39.25553	7.72506	NA	8.409756	NA	NA	NA	NA	NA	0.234146	3.570732	249.8537	0.468293	122.1	35.092999	1.834146	13.116	NA
