ocean	station	depth	environment	Dfe_conc_nm	L1_conc_nm	siderophore_pmol
n_pacific	HOT	3	surface	0.207	0.62	
n_pacific	HOT	3	surface	0.371	0.85	
n_pacific	HOT	3	surface	0.37	1.08	
n_pacific	HOT	3	surface	0.301	0.83	
n_pacific	HOT	3	surface	0.333	1.14	
n_pacific	HOT	3	surface	0.166	1.1	
n_pacific	HOT	3	surface	0.247	0.77	
n_pacific	HOT	3	surface	0.224	0.85	
n_pacific	HOT	3	surface	0.188	0.94	
n_pacific	HOT	3	surface	0.263	0.98	
n_pacific	HOT	3	surface	0.382	1.04	
n_pacific	HOT	3	surface	0.239	0.99	
n_pacific	HOT	3	surface	0.696	1.58	
n_pacific	HOT	3	surface	0.462	1.58	
n_pacific	HOT	15	surface	0.15	0.88	
n_pacific	HOT	25	surface	0.223	0.84	
n_pacific	HOT	30	surface	0.325	1.18	
n_pacific	HOT	100	DCM	0.058	0.37	
n_pacific	HOT	115	DCM	0.078	0.52	
n_pacific	HOT	123	DCM	0.101	0.39	
n_pacific	HOT	125	DCM	0.1	0.96	
n_pacific	HOT	130	DCM	0.079	0.41	
n_pacific	HOT	130	DCM	0.047	0.32	
n_pacific	HOT	130	DCM	0.073	0.4	
n_pacific	HOT	147	DCM	0.074	0.43	
n_pacific	HOT	150	DCM	0.06	1.61	
n_pacific	HOT	175	DCM	0.117	0.45	
n_pacific	HOT	175	DCM	0.076	0.44	
n_pacific	HOT	175	DCM	0.159	0.46	
n_pacific	HOT	175	DCM	0.119	0.45	
n_pacific	other	15	surface			2.43
n_pacific	other	75	surface			0.26
n_pacific	other	125	DCM			1.69
n_pacific	other	150	DCM			0.22
n_pacific	gradients	15	surface	0.509262434		
n_pacific	gradients	15	surface	0.478475482		
n_pacific	gradients	15	surface	0.264154694		2.257250093
n_pacific	gradients	15	surface	0.265739018		1.715963738
n_pacific	gradients	44	surface	0.31610119		
n_pacific	gradients	45	surface	0.260443183		
n_pacific	gradients	45	surface	0.477754927		
n_pacific	gradients	79	DCM	0.050680744		5.226516246
n_pacific	gradients	120	DCM	0.114129956		
n_pacific	gradients	130	DCM	0.102327775		
n_pacific	gradients	150	DCM	0.31707189		0.43113991
n_pacific	gradients	150	DCM	0.295744845		1.760592801
n_pacific	gradients	150	DCM	0.146564729		5.368501858
n_pacific	gradients	200	DCM	0.412679095		
n_pacific	gradients	200	DCM	0.136626316		0.859176324
n_pacific	gradients	200	DCM	0.530020843		
n_pacific	gradients	15	surface			17.24
n_pacific	gradients	25	surface			5.71
n_pacific	gradients	15	surface			11.56
n_pacific	gradients	18	surface			124.1
n_pacific	gradients	45	surface			5.65
n_pacific	gradients	200	DCM			276.04
n_pacific	gradients	100	DCM			95.08
n_pacific	gradients	85	DCM			3.75
n_pacific	gradients	96	DCM			14.64
n_atlantic	BATS	2	surface	0.707598	1.980488	
n_atlantic	BATS	2	surface	0.458537	0.887805	
n_atlantic	BATS	37.7	surface	0.433659	1.034146	
n_atlantic	BATS	41.3	surface	0.741463	1.531707	
n_atlantic	BATS	48.4	surface	0.167805	0.878049	
n_atlantic	BATS	66.4	DCM	0.156098	1.580488	
n_atlantic	BATS	72.3	DCM	0.167317	1.082927	
n_atlantic	BATS	90.8	DCM	0.328293	1.258537	
n_atlantic	BATS	100.5	DCM	0.794146	1.892683	
n_atlantic	BATS	136.3	DCM	0.532195	1.287805	
n_atlantic	BATS	138.4	DCM	0.234146	1.034146	
n_atlantic	BATS	186.2	DCM	0.726341	1.580488	
n_atlantic	BATS	189	DCM	0.273171	1.317073	
n_atlantic	other	10	surface			7.6
n_atlantic	other	7	surface			6.7
n_atlantic	other	13	surface			9.7
n_atlantic	other	14	surface			3.3
n_atlantic	other	15	surface			2.7
n_atlantic	other	10	surface			3.6
n_atlantic	other	10	surface			9.8
n_atlantic	other	9	surface			9.1
n_atlantic	other	7	surface			19.4
n_atlantic	other	7	surface			15.4